person_id,person_name,institution_id,institution_name,title,role_type,verification
mbz,H.H. Sheikh Mohamed bin Zayed Al Nahyan,adgov,Abu Dhabi Government (Ruler's Court),President of the UAE · Ruler of Abu Dhabi,political,v
mbz,H.H. Sheikh Mohamed bin Zayed Al Nahyan,scfea,Supreme Council for Financial & Economic Affairs,Chairman,political,v
mbz,H.H. Sheikh Mohamed bin Zayed Al Nahyan,mubadala,Mubadala Investment Company,Chairman,board,v
khaled,H.H. Sheikh Khaled bin Mohamed bin Zayed Al Nahyan,adgov,Abu Dhabi Government (Ruler's Court),Crown Prince of Abu Dhabi,political,v
khaled,H.H. Sheikh Khaled bin Mohamed bin Zayed Al Nahyan,execcouncil,Abu Dhabi Executive Council,Chairman,political,v
tahnoun,H.H. Sheikh Tahnoon bin Zayed Al Nahyan,adgov,Abu Dhabi Government (Ruler's Court),Deputy Ruler of Abu Dhabi,political,v
tahnoun,H.H. Sheikh Tahnoon bin Zayed Al Nahyan,fedgov,UAE Cabinet / Federal Government,UAE National Security Advisor,political,v
tahnoun,H.H. Sheikh Tahnoon bin Zayed Al Nahyan,adia,Abu Dhabi Investment Authority,Chairman,board,v
tahnoun,H.H. Sheikh Tahnoon bin Zayed Al Nahyan,adq,ADQ,Chairman,board,v
tahnoun,H.H. Sheikh Tahnoon bin Zayed Al Nahyan,fab,First Abu Dhabi Bank,Chairman,board,v
tahnoun,H.H. Sheikh Tahnoon bin Zayed Al Nahyan,ihc,International Holding Company,Chairman,board,v
tahnoun,H.H. Sheikh Tahnoon bin Zayed Al Nahyan,royalgroup,Royal Group,Chairman,board,v
tahnoun,H.H. Sheikh Tahnoon bin Zayed Al Nahyan,g42,G42,Chairman,board,v
tahnoun,H.H. Sheikh Tahnoon bin Zayed Al Nahyan,mgx,MGX,Chairman,board,v
mansour,H.H. Sheikh Mansour bin Zayed Al Nahyan,fedgov,UAE Cabinet / Federal Government,Vice President · Deputy Prime Minister,political,v
mansour,H.H. Sheikh Mansour bin Zayed Al Nahyan,prescourt,UAE Presidential Court,Minister of the Presidential Court,political,v
mansour,H.H. Sheikh Mansour bin Zayed Al Nahyan,cbuae,Central Bank of the UAE,Chairman of the Board,board,v
mansour,H.H. Sheikh Mansour bin Zayed Al Nahyan,eia,Emirates Investment Authority,Chairman,board,v
mansour,H.H. Sheikh Mansour bin Zayed Al Nahyan,cfg,City Football Group / Manchester City,Owner,ownership,v
mansour,H.H. Sheikh Mansour bin Zayed Al Nahyan,imi,International Media Investments,Owner,ownership,v
hazza,H.H. Sheikh Hazza bin Zayed Al Nahyan,adgov,Abu Dhabi Government (Ruler's Court),Deputy Ruler of Abu Dhabi,political,v
abdullah_bz,H.H. Sheikh Abdullah bin Zayed Al Nahyan,fedgov,UAE Cabinet / Federal Government,Deputy Prime Minister,political,v
abdullah_bz,H.H. Sheikh Abdullah bin Zayed Al Nahyan,mofa,UAE Ministry of Foreign Affairs,Minister of Foreign Affairs,political,v
saif_bz,H.H. Sheikh Saif bin Zayed Al Nahyan,fedgov,UAE Cabinet / Federal Government,Deputy Prime Minister · Minister of Interior,political,v
hamdan_bz,H.H. Sheikh Hamdan bin Zayed Al Nahyan,adgov,Abu Dhabi Government (Ruler's Court),"Ruler's Representative, Al Dhafra Region",political,v
hamdan_bz,H.H. Sheikh Hamdan bin Zayed Al Nahyan,ead,Environment Agency – Abu Dhabi,Chairman,board,v
hamed_bz,H.H. Sheikh Hamed bin Zayed Al Nahyan,adia,Abu Dhabi Investment Authority,Managing Director,executive,v
hamed_bz,H.H. Sheikh Hamed bin Zayed Al Nahyan,execcouncil,Abu Dhabi Executive Council,Member,political,v
theyab,H.H. Sheikh Theyab bin Mohamed bin Zayed Al Nahyan,prescourt,UAE Presidential Court,Deputy Chairman (Development & Fallen Heroes' Affairs),political,v
theyab,H.H. Sheikh Theyab bin Mohamed bin Zayed Al Nahyan,etihadrail,Etihad Rail,Chairman,board,v
nahyan_bm,H.H. Sheikh Nahyan bin Mubarak Al Nahyan,fedgov,UAE Cabinet / Federal Government,Minister of Tolerance & Coexistence,political,v
shakhbout_bn,H.H. Sheikh Shakhbout bin Nahyan Al Nahyan,fedgov,UAE Cabinet / Federal Government,Minister of State,political,v
khaldoon,Khaldoon Khalifa Al Mubarak,mubadala,Mubadala Investment Company,Managing Director & Group CEO,executive,v
khaldoon,Khaldoon Khalifa Al Mubarak,eaa,Executive Affairs Authority,Chairman,government,v
khaldoon,Khaldoon Khalifa Al Mubarak,adcb,Abu Dhabi Commercial Bank,Chairman,board,v
khaldoon,Khaldoon Khalifa Al Mubarak,enec,Emirates Nuclear Energy Company (Barakah),Chairman,board,v
khaldoon,Khaldoon Khalifa Al Mubarak,cfg,City Football Group / Manchester City,Chairman,board,v
sultan_jaber,Dr. Sultan Ahmed Al Jaber,fedgov,UAE Cabinet / Federal Government,Minister of Industry & Advanced Technology,political,v
sultan_jaber,Dr. Sultan Ahmed Al Jaber,adnoc,ADNOC Group,Managing Director & Group CEO,executive,v
sultan_jaber,Dr. Sultan Ahmed Al Jaber,masdar,Masdar,Chairman,board,v
sultan_jaber,Dr. Sultan Ahmed Al Jaber,xrg,XRG (ADNOC international investment),Executive Chairman,board,v
sultan_jaber,Dr. Sultan Ahmed Al Jaber,mbzuai,Mohamed bin Zayed University of AI,"Chairman, Board of Trustees",board,ns
jassem_zaabi,Jassem Mohamed Bu Ataba Al Zaabi,dof,Department of Finance,Chairman,government,v
jassem_zaabi,Jassem Mohamed Bu Ataba Al Zaabi,e_and,e& (Etisalat Group),Chairman,board,v
jassem_zaabi,Jassem Mohamed Bu Ataba Al Zaabi,execcouncil,Abu Dhabi Executive Council,Member,political,v
ahmed_jasim_zaabi,Ahmed Jasim Al Zaabi,added,Department of Economic Development,Chairman,government,v
ahmed_jasim_zaabi,Ahmed Jasim Al Zaabi,adgm,Abu Dhabi Global Market,Chairman,government,v
ahmed_jasim_zaabi,Ahmed Jasim Al Zaabi,execcouncil,Abu Dhabi Executive Council,Member,political,v
alsuwaidi_adq,Mohamed Hassan Alsuwaidi,fedgov,UAE Cabinet / Federal Government,UAE Minister of Investment,political,v
